"","k","k.1","k.2","k.3","k.4","k.5","k.6","k.7","k.8","k.9","k.10","k.11","k.12","k.13","k.14","k.15","k.16","k.17","k.18","k.19","k.20","k.21","k.22","k.23","k.24","k.25","k.26","k.27","k.28","k.29","k.30","k.31","k.32","k.33","k.34","k.35","k.36","k.37","k.38","k.39","k.40","k.41","k.42","k.43","k.44","k.45","k.46","k.47","k.48","k.49"
"1",7,6,2,8,3,8,6,6,6,4,8,8,1,2,2,3,1,5,4,7,8,2,3,1,7,4,3,5,5,4,4,6,8,3,1,5,6,3,5,7,2,2,3,8,3,6,4,6,1,5
"2",6,2,4,3,8,6,4,7,2,2,2,1,3,7,2,5,8,8,2,8,7,2,5,5,6,2,2,4,8,6,3,2,8,2,3,3,6,7,2,6,4,2,3,6,8,8,8,3,7,6
"3",7,1,1,2,4,7,8,3,4,3,5,2,4,2,8,3,5,8,5,2,1,7,4,4,8,8,6,2,8,1,3,1,4,8,6,7,4,1,8,8,7,7,2,8,6,8,3,1,8,2
"4",8,2,5,4,7,1,8,6,1,1,6,2,7,7,5,6,8,1,6,4,8,3,7,1,5,1,1,2,1,3,8,8,5,5,3,8,3,4,8,4,2,6,8,2,4,8,1,4,1,8
"5",7,1,8,4,2,6,2,7,6,5,6,1,1,5,8,1,8,8,6,5,7,3,8,6,3,2,2,1,2,1,7,4,1,6,6,7,5,6,2,8,2,2,8,7,1,5,2,6,7,2
"6",7,5,3,6,4,5,1,8,8,2,5,6,5,3,6,8,5,6,4,8,2,4,4,7,4,5,2,6,1,2,4,8,2,2,3,7,8,6,3,1,8,4,8,3,8,5,5,5,1,1
"7",4,6,2,2,8,3,4,7,7,3,2,8,3,4,4,2,1,4,8,5,1,8,1,5,3,6,2,4,1,5,7,6,4,6,5,6,4,7,2,3,4,1,5,2,4,3,7,3,4,4
"8",3,5,1,3,2,6,1,2,1,2,3,4,3,8,3,1,4,1,7,1,5,7,3,6,4,2,6,3,5,7,7,6,1,5,6,2,4,1,1,4,4,7,7,1,5,2,4,5,5,2
"9",8,3,4,5,8,2,4,6,4,6,6,6,2,8,4,3,8,1,8,8,3,2,1,4,3,8,7,3,7,5,5,8,6,8,6,8,7,4,7,4,5,1,1,2,8,3,7,2,1,4
"10",2,1,1,7,1,8,1,5,7,7,1,1,8,1,6,1,1,2,1,3,1,1,8,8,5,5,1,3,7,6,2,4,8,5,8,8,7,3,5,4,5,5,4,7,5,1,2,4,5,4
"11",2,4,1,5,6,7,5,2,3,6,3,2,6,3,8,5,1,4,6,3,7,3,1,5,1,1,1,1,8,5,3,4,3,1,6,6,8,6,4,5,2,1,1,6,8,3,1,7,3,7
"12",7,8,6,8,7,5,1,6,5,1,7,2,8,8,5,3,4,7,1,2,7,7,2,7,5,2,5,5,5,8,6,1,5,1,3,6,4,1,7,2,6,1,7,4,5,2,2,7,1,3
"13",7,2,7,5,4,3,6,4,1,5,3,1,2,1,1,7,3,2,1,1,7,7,1,1,3,5,7,6,2,5,3,3,8,4,6,8,7,6,2,7,1,1,5,6,1,1,6,4,6,7
"14",5,1,7,5,8,4,3,6,1,4,8,6,6,1,8,5,1,5,8,1,5,7,3,3,3,6,7,2,7,6,5,4,2,5,2,8,5,1,7,7,2,8,3,4,1,7,5,2,8,5
"15",6,3,4,2,3,6,6,2,2,5,3,5,1,6,4,3,2,7,3,7,4,1,6,5,2,2,6,1,3,6,8,1,2,8,2,5,2,1,4,7,6,3,2,1,7,4,4,1,3,6
"16",7,4,2,7,6,6,5,8,1,8,6,6,2,7,4,6,6,1,6,5,3,7,2,2,7,4,3,8,4,1,2,5,6,4,1,1,8,1,3,3,8,8,5,6,5,1,2,4,7,6
"17",1,5,5,4,7,3,8,7,2,8,7,8,8,1,2,1,8,4,7,1,8,8,2,8,4,8,2,2,6,8,1,8,2,3,3,1,6,1,3,1,7,6,7,3,5,4,6,8,2,8
"18",3,1,5,2,5,2,8,6,1,6,1,5,7,1,3,2,7,5,3,1,7,1,4,1,2,1,3,2,4,8,1,3,1,8,7,3,8,2,7,1,7,3,2,6,6,3,8,5,8,5
"19",7,5,6,8,1,3,1,1,5,3,5,7,2,4,6,1,4,6,5,4,7,2,8,4,2,8,3,5,2,7,4,5,1,8,2,7,5,3,8,2,1,7,1,1,7,8,5,2,6,7
"20",7,4,1,3,4,8,7,2,4,6,3,5,6,8,1,8,8,5,8,1,7,7,5,4,3,4,2,8,7,5,4,5,5,7,8,7,8,8,8,6,4,1,8,6,4,4,2,8,7,8
"21",8,1,5,7,8,6,3,8,8,7,1,2,4,5,3,2,5,1,1,8,5,3,8,5,1,8,8,1,7,7,2,2,3,3,5,7,8,7,2,8,1,3,3,8,1,6,1,2,6,7
"22",1,2,5,4,3,7,1,5,7,1,5,7,6,2,1,3,6,7,8,4,5,3,6,1,6,3,3,1,2,7,2,6,6,5,1,7,6,5,1,7,7,1,5,8,8,1,2,8,3,8
"23",4,5,8,3,6,1,1,1,7,4,3,8,4,8,7,3,8,6,4,6,4,4,7,4,5,1,3,5,8,4,7,1,3,2,7,3,5,5,7,6,2,1,5,1,8,8,6,2,5,8
"24",6,3,8,1,2,1,3,4,1,3,3,8,1,3,3,6,1,8,5,3,1,4,6,4,6,4,2,3,3,4,5,4,7,2,5,3,3,7,7,5,3,6,3,1,5,5,1,4,8,5
"25",7,2,7,5,5,7,2,5,7,1,1,8,5,3,8,8,4,1,8,8,1,1,7,3,4,3,1,5,3,6,4,2,8,8,6,3,4,1,5,7,7,4,6,3,5,8,3,7,2,7
"26",3,8,4,6,5,5,7,2,2,2,6,6,6,3,2,4,7,7,2,6,3,3,8,1,7,1,5,1,4,6,8,5,5,1,5,4,7,2,1,4,1,3,3,8,2,1,4,5,4,3
"27",2,1,2,1,3,2,3,1,2,7,2,3,5,2,5,2,6,5,6,2,2,8,3,7,6,8,1,6,6,5,7,8,4,3,5,1,3,4,8,7,7,3,1,8,7,3,5,4,8,2
"28",8,2,1,2,3,1,6,5,1,2,8,3,8,1,1,6,3,2,4,3,6,1,1,6,5,4,4,7,8,1,1,2,1,1,3,7,5,1,3,4,3,7,2,5,6,8,8,8,3,3
"29",5,6,8,1,1,7,5,3,3,6,2,3,1,3,3,6,7,8,7,2,4,6,2,6,3,8,5,4,1,2,1,3,7,3,8,2,7,1,7,4,7,7,4,3,4,5,4,1,2,1
"30",3,3,6,3,7,3,6,2,8,3,4,2,5,8,3,2,5,8,6,2,4,6,8,4,4,2,7,2,1,1,2,2,5,6,6,1,7,2,3,4,4,7,7,6,7,6,3,2,3,1
"31",5,2,6,7,4,7,8,5,4,4,7,1,8,4,8,4,5,2,1,6,5,5,6,3,6,5,2,2,2,1,8,1,7,1,7,5,1,1,3,4,3,2,7,5,7,5,5,5,4,1
"32",8,2,8,5,4,7,6,3,1,4,1,5,3,3,6,1,6,2,3,7,3,1,2,3,2,1,1,6,3,1,2,3,8,5,4,1,7,6,3,7,6,4,3,4,7,2,8,3,8,4
"33",6,7,8,2,8,2,6,4,4,8,5,7,5,6,2,7,8,6,7,7,2,5,3,3,6,8,8,1,1,2,1,8,7,8,6,1,3,7,1,5,1,8,2,2,2,4,3,8,2,4
"34",3,5,6,6,4,1,2,1,2,8,2,3,7,7,5,7,5,3,8,7,6,2,5,5,1,6,8,2,4,6,7,1,2,4,8,5,7,6,7,7,4,5,4,2,8,3,3,2,5,5
"35",1,1,7,7,3,1,1,1,7,4,2,1,7,4,6,7,5,2,7,3,1,6,4,7,5,2,5,3,1,1,2,5,8,2,7,7,2,6,3,5,3,8,1,3,2,6,4,1,5,3
"36",8,7,5,5,1,3,2,2,1,1,5,3,6,3,5,4,1,8,1,7,4,6,7,3,6,4,8,7,5,6,4,2,1,1,2,5,2,4,7,6,6,5,8,2,2,3,6,6,1,8
"37",3,8,5,3,7,8,1,7,1,7,8,7,2,6,3,6,4,2,3,1,4,8,2,2,5,1,5,3,3,8,1,3,7,5,2,7,7,1,8,4,2,5,6,2,2,8,7,2,8,4
"38",7,2,6,1,4,8,5,1,8,4,7,3,5,7,4,4,3,7,5,3,7,7,7,8,8,1,3,8,7,1,3,2,3,5,2,6,1,3,2,7,3,5,2,3,7,6,7,6,1,5
"39",1,1,8,8,7,2,5,2,2,5,8,1,2,7,3,5,6,1,6,2,3,8,7,1,2,8,1,4,2,2,4,7,5,2,2,6,1,7,4,1,6,4,1,1,1,3,3,6,4,1
"40",6,8,7,3,4,8,5,8,2,1,8,5,3,7,6,6,8,8,5,7,8,8,1,2,1,4,4,8,2,6,1,6,1,1,6,3,5,1,5,6,3,8,4,6,5,1,3,6,2,3
"41",3,5,5,4,2,8,1,6,7,2,1,8,5,5,3,2,1,8,3,6,2,3,2,6,3,8,3,3,6,2,5,4,1,1,4,6,1,3,2,7,7,8,8,5,4,6,4,1,7,8
"42",8,4,4,8,1,1,7,5,3,1,8,3,7,4,6,3,1,8,8,1,1,2,1,1,2,3,1,8,7,3,6,4,8,5,6,4,3,6,6,2,4,7,5,1,4,3,8,6,7,2
"43",7,2,6,6,4,6,8,8,7,5,5,5,1,5,3,1,2,6,8,4,3,7,4,2,4,5,2,8,4,3,6,3,3,2,7,7,2,5,3,7,1,7,4,7,2,6,2,2,4,4
"44",3,6,7,3,7,2,1,1,1,7,4,6,2,4,3,5,7,1,8,8,7,4,1,7,7,3,2,8,2,2,7,6,4,7,5,5,8,5,3,1,4,5,8,4,4,3,1,5,4,3
"45",3,3,8,4,1,6,1,1,6,6,5,4,4,5,8,8,6,5,3,1,2,8,6,6,8,7,5,4,8,3,2,7,8,5,6,3,4,1,5,3,6,1,2,2,4,3,6,1,4,6
"46",2,5,5,1,2,7,7,4,8,8,7,2,2,5,7,4,2,8,1,5,4,8,6,6,5,1,1,1,1,5,7,4,5,4,1,2,2,8,7,7,7,1,7,6,1,6,5,7,2,7
"47",6,5,7,8,2,5,2,4,3,4,7,8,2,3,6,1,2,5,2,6,3,5,6,6,5,2,4,8,3,4,5,4,5,8,4,5,8,3,6,5,7,6,1,1,5,7,4,5,8,4
"48",8,7,3,1,5,6,6,8,8,4,2,1,4,1,4,2,3,5,3,8,4,1,1,6,8,7,4,7,2,6,2,2,4,8,7,5,8,5,8,6,6,3,1,4,2,2,6,1,4,5
"49",2,1,4,5,5,5,1,8,2,2,6,3,1,8,5,7,7,5,1,6,6,1,2,3,6,7,5,4,4,2,6,6,4,7,8,2,3,7,6,4,3,5,1,7,7,1,5,4,1,6
"50",2,8,4,3,7,6,8,4,8,2,3,5,3,2,6,7,8,7,3,6,6,6,2,4,3,7,6,3,6,4,8,4,7,6,7,5,3,1,8,8,6,1,2,6,6,7,7,3,2,1
"51",7,1,2,3,3,4,6,3,5,8,2,1,3,6,1,6,7,6,7,2,6,8,1,3,2,5,8,4,6,3,1,6,5,5,4,3,6,3,6,1,4,5,5,7,2,4,7,1,3,4
"52",8,7,8,6,2,1,6,1,2,5,7,8,3,5,3,8,5,5,8,2,5,6,6,7,6,2,2,8,4,4,6,8,7,7,3,3,8,1,2,4,8,2,8,5,5,1,3,3,7,4
"53",8,2,6,7,6,2,7,3,3,4,3,1,7,2,5,3,8,2,6,4,4,3,7,4,5,8,8,4,2,5,5,2,6,3,3,8,1,2,6,7,3,8,1,5,7,7,4,2,7,3
"54",8,8,8,7,4,5,4,7,3,6,1,7,8,4,1,8,6,2,5,4,6,1,5,2,1,1,4,3,4,3,5,8,4,8,7,8,7,3,6,8,3,7,2,1,4,7,5,3,6,4
"55",5,2,8,8,3,3,2,2,8,7,5,6,2,3,5,8,1,8,1,8,7,6,5,5,7,4,8,3,6,7,2,6,7,5,7,8,4,3,6,6,7,4,2,5,3,7,4,6,2,4
"56",5,4,1,4,8,4,6,1,6,1,8,6,7,7,8,6,6,5,3,5,6,7,2,4,3,2,6,8,6,1,7,7,8,8,8,1,1,8,7,4,8,7,6,3,1,5,3,3,7,4
"57",7,4,8,2,2,3,5,6,7,2,7,6,5,8,8,4,3,5,8,7,1,1,5,6,7,7,3,5,3,1,8,5,2,7,5,4,1,6,1,4,8,5,7,5,8,2,7,2,2,1
"58",6,6,6,6,5,3,1,1,1,8,5,3,5,7,1,7,5,6,1,4,1,1,2,8,1,3,7,2,1,3,5,8,3,4,1,5,1,8,5,8,7,8,7,1,1,8,7,2,3,4
"59",1,1,3,7,2,6,4,7,1,8,7,1,2,4,7,6,3,3,3,1,5,8,3,6,4,1,6,4,1,2,2,6,4,1,7,8,1,7,1,1,2,1,2,6,2,7,5,8,7,4
"60",8,4,3,4,5,2,8,4,3,8,3,5,8,5,8,4,1,4,2,1,1,5,7,8,7,3,4,3,1,8,7,7,8,7,5,6,1,1,7,1,2,3,1,2,4,3,5,6,7,3
"61",3,3,5,8,7,6,6,6,1,6,3,6,1,7,5,7,3,3,1,1,5,8,5,2,2,3,2,2,7,7,1,6,1,6,3,2,4,2,5,7,6,3,1,7,7,8,7,4,7,8
"62",2,7,4,3,5,8,3,4,7,3,5,7,8,2,5,6,7,8,2,5,1,6,2,7,4,4,2,6,8,7,6,1,6,8,2,7,3,6,8,3,6,4,4,2,6,8,1,3,3,7
"63",5,4,6,8,2,1,6,1,1,6,6,5,7,3,2,1,1,1,3,3,4,5,4,2,2,3,5,7,4,6,7,4,8,1,7,6,7,2,3,7,1,5,8,4,8,2,3,2,1,7
"64",2,7,3,8,5,1,5,2,3,6,8,8,8,3,4,6,2,2,7,3,7,5,7,2,6,7,4,4,4,6,5,8,5,7,5,3,1,1,5,1,2,1,4,3,7,6,8,6,3,7
"65",7,5,6,6,6,6,3,8,4,3,3,5,3,3,7,2,5,8,5,2,6,8,4,3,1,5,3,1,1,3,7,6,5,7,8,6,2,8,7,7,2,2,3,8,3,2,8,1,7,2
"66",6,2,5,1,3,3,2,5,6,6,6,8,8,2,2,7,4,1,7,1,8,8,7,3,2,6,7,7,1,1,8,6,4,7,6,3,5,8,2,6,1,4,3,4,1,8,8,3,5,5
"67",3,4,8,1,5,2,3,5,1,7,6,1,5,3,3,7,2,7,6,6,7,2,2,3,2,2,3,1,4,2,2,7,6,8,7,4,8,4,8,6,6,8,8,5,2,1,1,7,5,3
"68",2,8,4,8,3,1,8,6,8,2,4,4,8,7,1,6,8,6,1,6,7,6,1,7,5,3,3,8,3,5,7,8,2,3,6,7,7,6,6,4,5,7,7,1,4,8,6,1,5,8
"69",2,2,7,5,6,3,6,3,2,2,7,1,4,7,3,2,1,1,4,7,7,5,1,3,1,1,8,2,4,7,2,4,5,3,6,7,8,5,1,6,7,5,1,1,7,6,4,5,1,8
"70",6,4,5,2,6,7,5,7,6,4,6,4,3,3,3,7,4,3,6,1,7,8,7,2,7,6,1,8,8,3,1,5,6,4,1,5,2,3,4,6,6,1,6,1,8,4,1,5,8,2
"71",5,4,8,8,2,5,6,2,7,2,4,1,1,1,1,5,4,6,7,2,4,6,6,4,8,4,5,3,2,2,4,5,4,3,4,2,7,3,5,7,4,1,3,2,3,4,7,8,7,1
"72",5,7,6,4,4,8,1,5,3,4,4,3,5,5,7,6,6,8,7,5,7,3,7,6,4,6,5,3,7,7,8,7,3,2,5,7,1,4,5,2,6,5,4,7,8,7,2,4,4,1
"73",5,1,3,6,2,1,8,7,6,6,5,6,8,2,5,8,2,8,1,8,3,7,4,6,2,3,3,1,8,8,3,8,5,2,1,1,2,8,4,2,5,4,6,8,4,1,1,5,5,5
"74",6,2,8,5,1,1,8,1,6,5,1,4,3,8,1,2,2,2,1,5,5,4,8,6,4,6,7,4,6,6,4,4,7,4,3,5,4,1,8,4,4,7,8,5,3,6,1,6,2,1
"75",4,8,1,1,6,3,1,7,8,7,5,5,6,6,1,7,7,4,6,4,7,4,5,6,3,3,6,5,3,4,6,1,2,7,3,2,4,5,8,2,7,2,4,7,5,3,1,1,7,6
"76",2,1,3,1,7,8,2,3,5,3,6,7,2,3,5,1,5,1,7,1,5,2,5,1,6,6,1,6,2,8,6,4,2,3,4,1,8,2,2,3,5,8,4,3,8,1,2,4,2,1
"77",5,1,5,8,8,3,3,1,1,7,4,6,5,1,1,1,3,6,8,8,8,1,3,4,6,4,5,6,3,7,8,1,3,2,4,2,7,2,5,2,2,8,5,1,8,3,6,4,5,7
