"","k","k.1","k.2","k.3","k.4","k.5","k.6","k.7","k.8","k.9","k.10","k.11","k.12","k.13","k.14","k.15","k.16","k.17","k.18","k.19","k.20","k.21","k.22","k.23","k.24","k.25","k.26","k.27","k.28","k.29","k.30","k.31","k.32","k.33","k.34","k.35","k.36","k.37","k.38","k.39","k.40","k.41","k.42","k.43","k.44","k.45","k.46","k.47","k.48","k.49"
"1",4,1,1,1,2,3,2,2,3,4,4,4,3,1,3,2,4,1,1,3,2,1,2,4,1,3,1,3,1,2,1,3,3,4,1,2,3,1,1,2,3,2,4,2,4,1,3,3,2,1
"2",3,4,3,3,3,4,2,3,2,4,3,4,3,4,1,2,3,2,4,2,1,1,3,4,3,1,3,2,4,2,1,2,3,2,3,1,3,2,4,4,1,1,4,4,3,1,1,1,2,3
"3",2,1,2,2,2,1,2,4,1,3,3,1,3,4,3,1,3,3,4,1,1,2,1,1,1,1,1,4,4,2,3,1,3,1,2,4,1,1,1,4,2,1,1,4,3,2,3,3,3,3
"4",1,4,2,4,1,2,2,1,4,4,1,2,1,2,1,1,1,2,2,4,1,2,3,4,4,2,3,4,3,4,1,2,3,2,4,1,2,2,1,4,1,3,2,4,1,1,1,2,4,4
"5",3,4,4,4,3,2,3,2,4,4,4,1,3,2,3,3,4,1,1,4,3,3,4,3,3,3,3,4,2,3,2,3,1,2,2,1,2,1,1,4,3,2,3,3,2,2,4,3,4,3
"6",1,4,2,1,3,1,2,2,4,3,4,4,2,2,1,3,2,3,1,1,1,4,2,4,4,2,2,3,2,4,3,1,1,1,1,3,3,3,2,4,2,4,4,2,3,2,2,3,2,2
"7",3,1,4,2,3,3,2,4,3,2,2,1,3,1,2,2,3,2,1,3,1,3,2,2,3,1,2,1,2,2,2,2,1,1,1,1,1,4,1,3,3,2,2,4,1,3,1,3,2,1
"8",1,3,4,4,1,4,3,2,1,3,4,4,3,2,3,1,2,2,1,1,4,1,3,2,2,1,3,3,2,4,4,1,4,3,4,4,2,4,4,3,1,1,2,3,1,4,2,1,3,3
"9",3,1,3,3,1,1,3,3,1,1,4,1,3,4,1,1,2,3,2,3,1,4,2,1,2,4,3,2,4,1,3,2,4,4,3,1,1,1,3,2,1,4,1,1,1,1,2,3,4,4
"10",4,1,3,1,4,1,2,4,3,3,2,3,4,4,2,1,2,1,3,3,1,2,2,4,1,2,1,2,3,1,2,3,1,3,1,4,3,4,3,2,1,1,2,2,1,1,1,4,4,1
"11",3,2,3,2,3,1,1,3,3,4,4,4,4,2,3,2,4,2,2,2,2,4,4,3,1,1,4,2,4,2,4,1,3,1,2,2,1,4,2,1,2,1,3,2,1,4,2,1,2,2
"12",1,1,3,2,2,1,1,4,2,4,4,3,2,1,2,3,1,1,4,2,2,2,2,2,1,2,3,4,3,3,3,2,3,4,4,1,1,4,2,4,2,4,2,3,1,1,3,2,2,1
"13",4,4,4,2,3,2,1,4,3,1,1,4,3,4,1,4,4,4,1,3,3,3,2,1,4,1,3,4,2,1,2,1,1,4,4,1,4,1,3,4,1,3,4,1,2,3,1,2,3,2
"14",4,3,2,4,2,4,3,3,1,2,4,4,3,3,2,2,4,2,2,1,2,3,2,4,1,1,2,3,1,3,1,3,2,1,1,2,2,2,3,4,1,4,1,3,2,3,3,3,2,1
"15",2,4,3,4,3,1,3,1,1,1,3,1,4,4,4,1,2,4,3,1,4,2,2,1,4,3,2,1,2,3,4,4,4,3,2,2,2,4,3,2,4,2,2,3,3,2,4,1,3,4
"16",3,1,2,2,4,4,2,1,1,1,1,3,4,1,3,4,3,4,2,3,3,1,4,2,1,3,4,2,1,4,1,3,2,4,1,1,1,2,2,2,4,2,3,3,3,2,4,1,1,4
"17",2,2,3,3,2,3,4,2,2,3,1,4,4,4,3,4,1,4,2,1,4,1,4,1,4,4,3,1,2,1,4,4,1,2,4,2,1,2,2,4,3,2,1,3,4,3,3,2,1,4
"18",3,2,4,3,2,4,3,2,2,3,2,2,3,3,2,2,4,4,2,4,4,3,1,2,3,4,1,1,4,3,1,1,3,1,3,1,4,4,4,1,3,1,2,1,2,1,4,3,3,3
"19",2,3,3,4,1,4,3,4,1,1,2,1,3,1,3,3,2,3,4,3,3,1,2,1,4,3,2,2,2,3,1,4,2,4,3,2,3,3,2,3,3,3,4,2,2,2,1,4,3,4
"20",3,3,2,4,2,2,4,3,4,1,3,4,3,2,4,1,4,4,1,2,2,4,4,2,1,4,2,3,2,4,2,2,3,2,2,4,3,4,4,3,2,4,4,4,4,1,3,3,1,1
"21",1,3,1,3,4,4,2,2,1,3,3,1,2,1,4,4,3,4,3,3,1,4,3,3,2,3,2,1,1,3,4,4,3,2,1,4,4,3,2,4,1,3,4,2,2,2,2,3,4,4
"22",1,1,3,3,3,3,2,1,4,3,3,4,4,4,2,1,3,3,1,4,1,4,4,2,2,2,3,2,1,2,3,1,1,2,4,2,4,3,4,2,3,2,3,2,4,3,2,1,2,3
"23",3,1,1,1,4,2,4,1,2,1,1,3,2,4,1,2,1,1,3,4,2,4,2,4,3,1,4,1,3,2,3,2,2,2,3,1,1,4,3,1,4,2,4,4,1,3,1,3,2,3
"24",3,3,1,4,1,3,2,3,2,4,4,3,2,1,2,1,3,2,3,4,3,2,2,4,2,4,2,3,2,1,2,2,1,1,1,2,2,4,4,4,3,2,3,2,4,1,1,1,2,2
"25",2,1,4,3,2,4,4,1,3,3,1,4,2,4,2,4,1,2,4,2,4,3,1,2,4,3,1,2,1,1,3,4,2,2,1,3,4,3,1,1,3,4,3,4,2,4,2,3,4,4
"26",4,2,3,2,4,2,3,1,2,2,4,1,4,4,2,3,4,4,1,2,4,4,1,3,1,1,2,4,1,4,4,4,3,4,4,3,1,2,4,1,4,4,2,3,2,1,3,1,3,2
"27",1,1,2,2,4,3,1,1,1,3,2,2,3,3,3,3,1,3,1,1,2,3,3,4,1,3,3,1,2,3,1,1,3,2,1,4,1,1,4,3,4,2,1,3,1,4,1,4,2,4
"28",2,4,4,1,2,1,3,1,1,1,1,1,2,4,2,4,3,4,4,4,4,1,4,2,1,4,2,2,2,4,3,2,2,1,3,3,3,2,3,2,2,4,2,2,4,1,1,3,1,2
"29",2,3,2,4,1,3,2,3,2,4,3,1,4,1,3,1,1,2,3,3,3,2,3,4,2,1,2,3,2,1,2,4,3,4,4,4,2,2,4,3,2,4,1,1,3,3,4,2,3,3
"30",1,4,3,1,1,4,2,3,2,3,4,2,2,3,1,3,2,2,3,1,1,4,3,4,2,2,3,3,2,1,4,4,3,1,4,1,4,4,4,2,4,1,2,2,1,1,2,1,2,1
"31",4,1,3,3,2,2,4,3,1,2,3,2,3,2,2,3,1,4,1,3,2,4,3,4,3,4,3,3,1,2,3,2,1,2,1,4,1,2,1,4,1,4,3,1,2,1,2,4,2,3
"32",4,3,4,3,2,4,4,2,3,4,3,3,4,4,1,1,3,4,4,3,2,4,4,3,1,3,1,1,3,1,3,4,4,1,4,4,3,4,4,3,2,2,4,1,3,1,1,4,3,1
"33",3,3,1,1,4,2,4,3,1,2,2,1,3,3,3,1,1,4,1,1,3,2,2,1,3,1,3,4,4,2,2,4,4,4,3,4,2,4,2,1,1,3,3,3,2,2,2,4,3,3
"34",2,2,1,2,2,4,2,3,3,4,1,4,2,3,3,2,3,4,4,1,1,3,4,2,2,1,1,1,1,1,3,1,2,4,4,2,2,1,4,2,2,2,3,3,2,1,4,4,3,3
"35",3,1,3,2,3,1,1,4,2,2,3,4,1,3,2,2,2,2,1,1,2,2,2,4,1,3,4,2,1,3,1,1,3,4,4,2,1,4,2,2,1,3,1,4,4,3,1,1,4,2
"36",1,3,2,4,4,1,4,2,3,1,2,1,3,2,2,2,2,2,4,4,1,2,2,4,1,1,4,1,3,1,3,3,2,3,3,1,4,3,3,2,3,1,4,1,1,4,1,1,1,3
"37",3,4,2,1,2,4,4,2,3,4,4,1,3,3,1,2,1,4,4,3,1,2,4,2,1,4,1,1,2,1,3,4,1,3,2,2,2,4,3,2,4,3,2,3,4,3,4,2,3,1
"38",4,2,4,4,1,2,4,3,2,3,1,2,3,2,2,4,2,2,2,1,4,3,2,4,1,1,1,1,1,3,1,4,4,3,2,4,4,4,1,2,4,3,1,3,2,4,2,1,4,1
"39",4,2,1,4,4,4,1,1,2,3,1,1,3,1,1,1,4,3,2,4,2,1,3,1,1,4,1,4,3,4,2,2,3,2,2,2,2,2,1,3,1,2,3,2,3,2,3,4,2,4
"40",3,3,3,1,1,2,4,2,3,3,3,2,2,2,4,1,4,2,1,2,4,2,1,1,3,4,3,1,2,4,3,3,2,2,2,3,4,3,2,2,2,3,2,3,3,1,1,3,3,1
"41",1,2,4,3,3,2,3,4,1,2,1,3,2,4,3,1,3,4,3,4,4,2,1,3,1,4,4,1,3,3,4,4,2,3,4,3,4,4,4,3,2,3,1,4,2,1,4,2,3,3
"42",1,1,3,3,4,2,2,3,3,1,1,1,2,1,4,3,2,1,1,2,1,3,4,3,2,1,1,1,1,2,4,4,2,1,3,3,1,1,4,4,1,2,2,1,4,3,1,4,3,2
"43",2,1,1,4,2,2,1,4,4,1,2,3,2,4,4,4,1,1,3,3,1,2,1,2,3,1,2,3,2,3,4,3,1,4,1,2,4,3,3,2,4,3,1,2,3,3,4,1,3,1
"44",3,3,2,1,2,1,3,4,2,4,2,1,1,2,4,3,4,2,3,3,4,1,2,1,1,2,2,1,2,1,4,3,2,4,3,1,4,1,1,4,2,1,4,3,2,2,3,4,4,1
"45",1,2,3,4,3,3,1,4,2,3,4,1,2,2,2,2,3,3,1,3,3,2,2,1,2,2,2,4,4,4,2,3,2,1,2,4,3,3,2,2,4,1,3,3,2,2,3,1,2,1
"46",3,3,4,1,2,2,3,4,4,3,1,3,4,1,1,4,1,1,2,4,4,2,4,1,2,3,3,2,4,3,4,4,4,2,2,2,2,1,1,2,4,1,4,4,4,3,3,3,1,4
"47",2,3,4,3,1,2,2,4,3,1,2,2,2,3,2,1,4,1,1,4,3,4,1,1,4,4,3,2,3,3,3,4,3,1,1,1,1,2,1,2,1,2,1,2,3,4,1,3,2,4
"48",3,3,4,4,4,1,3,4,2,4,3,1,4,1,3,3,2,1,1,1,2,3,1,4,4,1,3,2,3,1,3,1,3,3,4,3,2,3,2,3,1,3,1,1,1,1,1,1,2,1
"49",3,4,1,4,4,3,3,4,4,2,4,2,4,4,3,1,4,2,3,1,1,3,3,4,2,4,2,1,4,2,4,4,1,4,2,3,3,1,2,1,1,4,2,1,2,2,3,3,4,2
"50",1,1,3,3,2,2,1,1,3,4,2,4,4,1,4,2,1,4,2,3,2,4,3,4,3,4,1,3,2,3,3,2,3,4,1,4,3,2,3,1,1,3,3,1,4,3,1,1,2,4
"51",4,2,1,3,2,2,1,2,2,1,1,4,1,3,3,2,3,4,1,1,2,2,3,4,4,4,1,2,1,4,1,1,4,2,1,3,1,3,3,1,1,1,3,2,4,4,2,2,2,1
"52",3,3,3,3,3,2,2,4,1,4,3,1,3,4,4,2,4,4,4,3,3,1,1,2,2,4,4,1,2,3,1,2,2,3,4,2,4,3,3,1,4,4,4,4,2,1,1,4,4,4
"53",3,4,4,3,1,4,2,4,2,2,4,4,1,1,3,2,3,3,3,1,1,2,2,3,2,4,4,3,3,3,3,3,1,4,1,2,1,4,1,2,4,2,4,4,4,4,2,2,1,1
"54",4,2,1,4,2,1,1,4,3,1,4,1,4,1,1,3,2,4,4,1,3,4,2,2,4,2,1,3,4,4,1,1,4,2,2,4,3,4,2,4,1,2,2,4,1,1,2,3,1,1
