"","k","k.1","k.2","k.3","k.4","k.5","k.6","k.7","k.8","k.9","k.10","k.11","k.12","k.13","k.14","k.15","k.16","k.17","k.18","k.19","k.20","k.21","k.22","k.23","k.24","k.25","k.26","k.27","k.28","k.29","k.30","k.31","k.32","k.33","k.34","k.35","k.36","k.37","k.38","k.39","k.40","k.41","k.42","k.43","k.44","k.45","k.46","k.47","k.48","k.49"
"1",2,2,1,1,1,5,1,2,1,2,2,2,4,1,1,2,2,2,1,1,1,2,2,1,1,1,2,4,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,9,1,2,2
"2",1,5,6,1,1,2,1,1,2,2,3,1,1,1,3,2,1,2,4,2,1,2,1,1,1,1,1,2,2,2,4,3,2,1,1,1,2,2,9,6,2,1,1,2,5,1,1,1,4,1
"3",5,1,1,1,1,2,2,2,2,2,1,1,1,1,2,1,1,3,1,1,1,1,1,3,1,1,2,1,1,4,1,9,2,1,1,1,1,1,1,2,1,2,5,2,2,1,2,1,2,2
"4",1,1,1,2,2,2,1,2,4,2,1,1,1,2,2,2,3,1,3,1,2,1,4,1,1,5,1,2,2,2,1,5,1,1,2,1,1,1,1,2,2,5,1,2,1,1,2,1,4,2
"5",2,1,2,1,1,1,2,1,1,3,2,1,1,3,1,3,1,1,3,8,5,2,1,2,2,2,1,4,1,2,2,3,6,1,1,2,1,1,2,1,3,2,1,1,2,1,1,4,1,1
"6",2,1,6,2,1,1,1,3,3,1,1,2,2,1,2,1,3,2,1,3,1,2,2,1,2,4,1,1,1,3,2,1,1,1,1,1,1,1,3,2,6,2,1,3,1,2,1,5,2,1
"7",1,1,5,9,2,1,1,1,1,4,1,2,1,4,1,4,4,1,1,3,2,1,2,1,2,3,3,1,1,2,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,2,2,2,3,6
"8",2,1,1,2,4,1,2,1,2,2,1,1,1,2,2,2,1,1,2,1,3,1,2,1,1,1,5,2,2,1,4,1,1,3,1,2,2,1,1,2,9,3,2,1,5,1,3,2,1,3
"9",1,1,4,2,7,1,2,3,1,4,2,1,2,1,8,1,3,3,1,2,1,1,5,1,2,1,1,2,1,1,1,2,1,4,1,2,1,3,1,2,1,1,3,1,1,2,6,1,1,1
"10",1,1,5,6,4,2,2,3,1,2,3,3,1,2,1,1,2,2,1,2,2,1,2,2,2,1,2,2,11,4,1,3,2,1,3,4,1,2,5,3,6,2,2,1,1,1,2,4,1,1
"11",2,2,5,3,4,3,10,2,1,4,2,3,8,1,2,1,4,1,6,2,1,2,3,1,1,3,1,10,1,1,1,2,2,2,3,1,1,2,6,2,2,7,1,2,1,1,1,1,2,6
"12",2,2,11,1,1,1,3,1,1,1,2,5,1,1,1,2,1,3,8,1,4,1,3,1,3,1,1,2,2,1,1,2,1,2,1,2,4,1,1,2,1,2,1,2,1,5,1,7,4,1
"13",2,2,2,4,1,3,4,1,2,3,1,1,1,1,1,2,1,2,3,1,2,1,2,1,1,5,2,2,3,2,2,2,1,1,1,1,2,2,4,6,1,5,6,1,1,1,1,2,1,2
"14",1,1,2,5,2,10,1,1,1,2,3,9,2,6,1,1,1,2,2,2,2,1,1,1,2,7,1,1,1,1,2,2,3,2,2,1,1,1,1,1,3,5,3,1,1,1,2,1,1,1
"15",4,1,1,2,1,3,1,1,5,4,1,2,2,2,2,2,1,3,2,2,1,1,1,1,1,2,1,2,1,2,1,3,1,1,1,1,1,3,1,4,2,1,2,1,2,1,9,1,3,1
"16",2,7,1,1,1,1,1,1,1,3,2,1,1,1,2,1,2,1,1,1,1,6,2,1,2,2,1,1,2,1,4,1,1,2,2,3,1,1,1,2,1,1,1,1,7,3,5,2,6,4
"17",3,1,1,2,1,1,1,2,1,1,1,1,3,1,1,1,3,1,1,3,2,2,1,2,3,7,1,1,2,5,10,2,1,1,1,1,1,2,4,2,6,1,2,1,2,4,1,1,1,1
"18",1,4,2,2,1,2,2,3,2,4,1,4,3,1,2,3,1,1,1,2,1,1,1,1,1,2,3,1,3,1,3,2,1,3,2,3,2,1,2,2,7,4,2,1,1,2,1,1,1,1
"19",2,2,1,1,3,2,1,2,1,1,1,2,1,1,1,2,3,1,1,2,3,1,5,1,2,1,2,1,1,1,1,1,8,1,1,1,4,2,2,1,1,1,2,1,1,1,1,1,6,2
"20",3,2,4,2,7,1,1,1,2,5,1,4,4,1,3,6,1,2,1,1,1,2,5,1,2,2,4,1,2,3,1,2,1,3,3,1,2,6,2,2,1,1,1,1,2,1,2,1,5,3
"21",1,3,2,2,6,2,2,1,1,2,1,2,2,1,2,2,2,2,3,2,2,2,2,1,2,3,2,1,2,1,2,2,1,1,2,1,2,2,1,2,1,5,1,2,2,1,3,1,2,1
"22",1,2,1,1,1,2,1,1,2,1,4,2,3,3,2,2,1,1,1,1,1,1,3,1,1,1,2,1,1,1,6,1,1,2,1,1,2,1,2,5,1,2,1,8,1,2,2,3,6,2
"23",2,1,1,2,3,2,1,1,2,1,10,3,5,1,1,1,1,1,1,2,3,4,3,4,1,1,10,1,3,1,1,2,1,2,6,1,6,2,2,5,2,2,2,5,1,1,1,1,2,3
"24",3,1,1,1,1,3,1,1,2,6,4,1,1,1,2,1,1,1,3,1,2,7,1,2,2,1,2,2,3,1,1,1,1,4,3,1,1,2,2,1,2,1,1,1,2,1,2,3,2,2
"25",1,3,3,4,1,2,2,1,1,2,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,2,7,6,1,4,3,1,2,1,7,1,8,1,3,3,1,1,3,1,2,1,1,1,2,2
"26",1,2,1,1,2,1,1,1,2,5,1,1,4,1,1,1,1,1,2,1,1,4,2,3,1,1,2,1,1,2,2,1,1,1,2,2,4,3,1,3,1,2,1,1,1,1,1,2,2,3
"27",1,1,1,1,1,7,2,1,5,1,6,1,2,1,1,2,1,1,1,7,1,3,3,1,3,1,1,1,7,2,2,1,1,1,1,2,2,1,1,1,1,1,2,2,1,1,2,2,2,1
"28",1,2,2,1,1,2,2,7,1,1,1,1,3,1,2,2,2,1,2,1,1,4,1,1,1,3,2,2,3,1,1,1,2,1,3,1,3,2,6,1,4,2,1,2,1,1,1,1,1,1
"29",1,2,2,1,1,8,1,1,1,5,3,1,1,1,2,1,8,1,3,1,2,3,2,1,3,2,3,2,2,3,1,1,1,1,8,1,1,1,2,2,1,1,1,1,1,2,1,1,2,1
"30",2,2,2,2,2,2,2,1,1,1,4,2,6,2,1,1,1,9,1,3,2,2,6,2,1,1,1,2,1,2,1,1,2,2,2,4,2,2,2,1,4,1,1,1,1,2,5,2,1,1
"31",1,6,1,1,1,1,2,8,1,3,7,2,1,1,2,1,1,2,2,2,4,1,2,2,1,3,1,2,1,2,1,4,7,3,1,3,1,2,1,1,2,3,2,2,1,2,4,1,1,1
"32",2,2,1,2,2,1,2,1,5,3,2,1,1,1,1,2,2,1,3,1,1,2,3,3,3,3,1,1,2,1,1,1,2,1,1,2,2,1,1,1,1,4,3,6,1,2,4,1,2,1
"33",2,1,1,1,1,1,7,3,2,1,2,3,3,2,5,1,8,2,1,6,1,2,3,1,1,1,1,2,6,1,2,2,1,1,2,1,1,2,1,2,1,1,1,1,1,2,2,2,1,2
"34",2,1,3,4,3,1,2,2,2,2,1,1,1,9,2,2,4,1,3,1,2,2,2,3,3,1,1,2,5,3,2,1,1,1,2,2,3,2,1,2,2,2,1,2,2,1,1,2,4,2
"35",1,1,3,6,2,1,2,1,1,5,3,1,7,1,1,1,6,3,2,1,2,1,2,1,4,6,1,1,3,5,6,1,2,1,1,6,4,1,2,2,3,1,1,1,1,1,1,1,3,4
"36",1,1,2,1,1,3,6,1,4,2,2,2,1,1,1,1,1,3,2,4,9,2,1,2,1,2,6,2,1,4,4,2,3,1,1,1,1,1,2,1,1,1,1,2,1,1,4,1,4,1
"37",1,2,2,1,3,2,2,2,1,4,1,1,1,2,1,2,2,2,1,1,7,1,2,1,4,1,1,2,1,1,2,3,1,1,3,2,1,2,2,1,2,5,3,1,2,5,2,2,1,3
"38",2,1,7,1,2,3,1,1,2,3,9,1,1,2,2,2,6,1,2,1,3,6,1,1,1,1,2,1,1,1,2,5,1,7,4,3,1,5,2,1,1,3,1,1,1,2,2,1,2,3
"39",1,2,1,2,2,1,1,1,3,2,2,2,1,2,2,2,1,1,2,6,2,3,1,2,1,1,1,3,4,2,1,1,1,3,1,4,8,2,1,1,2,1,1,2,1,2,7,2,6,4
"40",1,1,3,9,3,1,1,2,1,1,4,1,2,1,2,1,3,10,2,1,3,7,1,1,2,1,3,1,1,2,3,2,3,1,2,1,1,1,2,3,1,4,1,1,2,3,1,3,2,2
"41",2,1,1,1,1,2,1,1,3,2,1,2,2,4,3,3,2,2,5,3,1,1,1,1,1,1,2,2,2,1,2,3,2,2,1,3,2,4,1,3,1,1,2,1,1,1,1,2,3,1
"42",1,1,3,1,4,1,1,1,1,3,6,1,2,3,1,2,1,7,1,1,10,1,2,3,1,1,3,1,2,2,1,2,1,1,1,1,1,3,1,1,4,2,1,1,2,5,4,1,1,2
"43",1,1,1,4,5,1,3,1,3,1,2,5,1,5,1,1,2,2,1,1,1,1,2,4,1,2,1,1,3,3,2,1,1,2,5,1,3,3,1,2,1,8,2,4,1,1,2,7,3,2
"44",1,1,2,4,1,2,4,1,2,3,1,2,4,2,1,2,1,1,1,3,1,1,5,2,1,1,1,2,1,7,1,2,1,10,1,1,1,1,2,1,4,2,1,3,1,1,1,2,1,2
"45",1,1,1,1,2,1,2,1,2,1,3,1,2,1,1,5,1,1,2,1,1,2,1,2,3,1,1,1,1,2,7,6,1,2,1,2,1,4,1,1,2,1,1,2,8,1,8,2,1,1
"46",1,2,3,2,2,1,2,5,2,1,2,1,2,1,2,1,2,2,3,1,1,1,1,1,2,1,1,1,3,1,1,1,1,1,1,3,2,1,3,1,1,1,1,3,2,1,1,3,11,1
"47",2,9,5,1,2,1,3,1,2,1,2,4,1,3,1,3,2,3,1,1,1,2,2,2,5,1,3,4,1,1,2,1,3,1,1,1,2,1,1,1,3,1,1,2,1,1,3,1,2,3
