"","k","k.1","k.2","k.3","k.4","k.5","k.6","k.7","k.8","k.9","k.10","k.11","k.12","k.13","k.14","k.15","k.16","k.17","k.18","k.19","k.20","k.21","k.22","k.23","k.24","k.25","k.26","k.27","k.28","k.29","k.30","k.31","k.32","k.33","k.34","k.35","k.36","k.37","k.38","k.39","k.40","k.41","k.42","k.43","k.44","k.45","k.46","k.47","k.48","k.49"
"1",1,6,2,2,5,2,1,5,3,6,4,3,5,4,5,5,1,1,5,6,6,1,1,6,2,1,1,2,1,1,2,4,4,1,5,1,5,4,5,6,5,6,1,1,4,5,2,6,5,3
"2",1,4,4,2,3,2,2,6,3,3,5,1,4,4,4,5,4,2,4,1,6,4,4,3,3,3,5,1,1,5,5,2,2,4,6,4,3,1,4,1,2,2,3,3,3,2,1,1,2,3
"3",1,5,4,5,1,1,5,5,6,1,3,2,2,1,2,4,5,3,4,1,3,5,5,4,1,5,4,4,5,4,5,4,2,5,4,2,6,3,5,6,3,2,5,4,2,2,2,6,4,6
"4",4,3,5,6,4,4,6,5,5,5,4,1,2,6,5,3,5,3,3,1,3,6,6,3,4,2,1,6,4,6,5,3,6,2,6,3,2,4,3,1,2,6,4,1,2,3,5,5,6,4
"5",5,5,5,5,3,3,3,3,4,1,2,1,6,4,2,1,5,1,4,5,6,6,1,4,1,6,3,6,4,2,6,3,4,6,3,6,4,1,5,4,6,5,1,2,1,4,6,3,6,5
"6",6,6,6,6,6,1,4,3,1,3,3,4,5,2,1,3,1,3,6,4,1,5,3,6,4,6,3,4,6,6,4,5,3,2,4,3,2,5,1,6,6,4,5,4,3,1,1,2,6,4
"7",1,1,5,3,3,5,4,1,4,3,3,1,1,5,3,5,4,3,5,6,1,1,4,6,4,6,4,6,6,4,1,6,2,2,4,1,4,2,1,4,4,5,2,2,6,3,4,2,2,3
"8",6,6,5,2,5,5,3,4,2,3,3,5,4,3,2,3,3,3,3,4,4,5,1,5,5,1,5,5,6,5,4,6,6,2,1,4,6,2,1,1,1,1,5,2,5,5,3,1,4,2
"9",4,3,1,6,1,4,2,1,2,6,1,4,3,2,2,6,1,3,6,2,5,3,6,6,2,4,3,2,3,5,5,6,4,5,4,4,3,1,1,1,3,2,6,1,4,1,5,3,2,5
"10",2,3,5,1,3,1,1,4,1,6,6,4,5,6,6,6,6,6,2,3,5,3,3,5,3,2,2,4,3,1,6,6,1,2,1,5,2,6,5,6,2,6,1,5,2,1,2,5,3,5
"11",6,3,6,5,2,1,1,2,1,1,4,2,4,3,4,5,2,1,3,5,4,3,3,4,4,6,4,5,2,4,2,3,1,5,6,6,3,1,1,3,5,3,4,3,1,5,6,4,1,6
"12",3,1,6,6,5,1,3,3,5,3,2,5,5,5,2,2,1,2,5,4,3,6,3,6,1,2,6,5,5,6,4,1,2,2,5,4,4,4,5,1,4,5,6,4,3,1,2,4,5,3
"13",6,2,2,4,5,3,3,3,1,3,4,3,2,6,3,5,1,1,5,5,2,4,4,6,1,4,3,4,3,2,6,1,4,5,3,6,2,4,5,6,1,2,5,2,6,6,1,2,5,3
"14",6,1,1,2,1,1,2,2,5,4,1,6,3,6,4,2,5,5,6,6,6,6,2,5,3,5,4,5,5,3,1,2,1,3,6,1,5,6,6,1,1,1,6,4,2,5,1,5,2,6
"15",5,2,1,4,6,6,1,2,6,1,6,5,1,4,2,2,2,4,1,5,6,2,4,1,6,6,4,3,2,4,6,6,6,1,3,4,1,6,3,6,4,3,5,3,2,4,2,2,1,5
"16",3,6,2,5,6,5,1,4,5,5,4,5,3,6,1,6,4,5,2,5,6,2,4,1,6,2,6,6,6,5,3,3,5,4,6,4,2,2,5,5,4,4,1,4,5,2,4,1,4,5
"17",3,5,4,2,6,4,6,2,5,2,2,1,6,5,3,4,4,2,4,1,4,4,6,6,2,2,1,1,3,1,6,6,3,3,2,5,2,2,3,2,2,4,4,6,5,4,1,4,6,1
"18",6,4,3,6,4,3,6,2,2,3,5,6,2,5,2,1,4,2,6,1,5,6,4,3,1,4,6,4,1,4,3,4,1,4,4,5,1,2,1,4,3,1,3,5,6,4,4,2,4,6
"19",3,5,6,1,5,3,1,1,6,3,5,5,4,6,4,3,3,4,3,2,6,2,1,4,4,1,4,6,4,6,5,4,3,4,5,6,2,2,2,2,5,3,3,4,3,5,3,6,4,4
"20",5,5,5,5,4,3,3,3,4,5,6,5,4,1,5,3,3,2,6,5,1,5,6,1,6,1,5,6,2,6,5,2,4,2,1,4,6,5,1,4,1,1,3,6,3,6,5,6,3,1
"21",4,4,5,4,4,1,2,2,6,5,4,2,5,2,3,6,4,5,1,5,5,2,5,2,1,4,1,3,5,5,5,3,4,1,2,6,3,1,2,2,4,1,1,5,5,4,5,6,3,2
"22",4,1,3,2,5,1,6,2,6,1,1,3,1,1,3,3,4,4,1,3,2,6,2,3,2,6,4,6,2,1,3,2,5,4,5,5,4,4,4,2,6,3,2,6,5,6,6,6,3,6
"23",4,2,3,6,3,4,2,5,4,6,5,1,2,6,4,3,4,2,3,1,6,1,4,2,4,1,4,6,4,6,2,4,1,3,4,3,6,6,4,2,2,5,6,2,6,2,3,2,3,2
"24",3,4,5,5,3,5,1,4,3,2,6,5,6,6,3,2,5,2,3,3,3,2,4,5,3,6,5,3,6,5,5,5,3,2,6,1,2,3,6,4,4,3,3,4,5,1,4,4,3,6
"25",3,6,4,1,4,2,5,6,3,4,2,6,6,5,5,4,6,6,5,1,3,5,3,6,5,6,6,3,6,6,6,4,2,2,5,5,1,3,1,5,6,4,2,2,1,5,6,6,2,2
"26",6,6,2,1,2,5,3,6,5,2,4,3,4,6,2,1,4,2,5,4,1,3,4,5,2,2,6,1,6,1,6,2,3,6,1,6,1,1,4,5,6,5,2,4,4,1,2,6,1,5
"27",6,1,1,4,4,2,1,2,2,1,6,4,2,1,1,3,5,1,2,5,2,5,3,5,5,4,6,5,1,2,6,1,6,5,5,5,4,6,4,4,6,2,5,6,3,6,4,1,1,6
"28",4,1,6,6,4,4,2,1,6,5,4,3,2,5,4,1,3,5,4,4,5,1,4,4,6,1,4,1,3,5,6,4,5,3,5,3,2,1,1,2,3,5,2,5,6,6,4,6,6,6
"29",3,4,1,4,5,1,5,5,6,1,6,2,1,6,1,5,5,5,6,6,3,3,2,4,4,4,4,1,3,4,1,1,3,3,1,1,2,4,3,1,2,3,2,6,5,5,5,1,2,5
"30",3,4,3,4,5,3,6,1,5,5,1,1,6,4,3,3,1,2,5,3,1,4,1,5,5,1,2,2,2,3,1,3,2,5,1,4,1,3,6,1,5,4,6,5,3,4,5,2,4,5
"31",1,6,6,1,1,6,1,3,6,1,2,1,6,3,4,5,2,1,2,5,5,2,1,2,2,1,1,5,4,2,1,1,4,6,1,1,3,1,3,4,3,4,1,6,3,1,4,2,4,3
"32",6,4,1,4,4,6,3,5,3,5,3,3,1,4,3,4,5,1,4,6,3,4,1,4,4,5,3,2,2,1,1,4,1,6,3,4,2,1,4,3,1,3,4,2,1,3,2,1,3,4
"33",3,2,4,2,5,3,4,5,1,2,5,6,1,6,6,6,4,3,5,5,1,2,4,2,1,1,1,2,1,3,5,5,2,6,2,1,5,2,6,3,1,2,4,2,6,1,6,4,5,3
"34",1,3,1,6,4,6,6,2,4,2,6,6,2,2,1,4,2,4,3,3,3,5,6,6,1,5,3,2,6,1,2,1,4,1,3,3,4,4,6,3,2,4,2,5,6,6,6,5,5,5
"35",1,1,4,1,2,2,5,6,1,4,4,6,1,4,1,5,4,6,3,6,2,3,1,3,2,4,3,6,4,3,3,5,4,5,5,2,2,2,5,2,2,6,6,1,4,2,3,6,2,4
"36",4,2,4,2,3,5,5,3,4,3,3,6,5,6,5,1,3,1,6,6,5,3,2,6,1,1,6,5,2,1,3,4,4,1,2,1,4,3,1,2,4,1,4,5,6,5,5,5,5,6
"37",1,5,1,6,2,6,4,6,6,1,4,2,6,5,6,2,3,1,3,5,4,4,6,4,5,2,3,1,3,1,6,4,2,3,4,5,5,3,6,5,4,6,6,6,6,5,5,4,3,1
"38",4,6,6,6,6,2,5,4,5,6,3,1,1,2,4,1,2,3,5,4,1,6,1,1,3,4,1,4,5,2,3,2,5,5,2,4,5,2,4,5,4,2,1,5,6,4,5,3,6,6
"39",3,4,2,3,1,5,2,2,2,6,4,3,4,5,2,5,3,5,1,3,5,2,6,4,2,2,3,4,1,3,6,4,2,3,3,5,4,5,4,6,6,6,6,2,1,6,2,2,4,4
"40",4,4,6,3,4,3,1,5,6,1,1,6,3,6,1,6,5,2,2,3,3,4,5,2,5,6,1,3,6,5,2,6,5,6,3,2,1,1,3,4,4,3,3,5,2,3,6,1,3,2
"41",5,4,6,1,5,5,4,2,4,4,2,4,6,2,2,4,4,5,5,1,5,4,1,4,2,4,1,2,2,3,3,1,5,6,2,5,5,1,4,3,2,1,6,1,5,1,1,2,3,3
"42",3,1,4,4,4,2,4,1,3,1,3,5,1,2,1,1,1,4,6,2,6,6,6,6,2,3,6,6,4,2,6,1,6,5,6,2,5,3,2,4,2,5,5,1,4,2,3,1,3,4
"43",5,6,3,2,5,6,3,4,2,2,5,3,6,2,2,4,6,6,1,6,3,6,2,6,6,3,1,5,2,2,4,5,4,5,2,2,4,1,4,3,3,5,1,1,4,2,1,4,6,2
"44",2,4,6,1,6,5,4,3,5,5,4,6,1,6,2,5,6,5,1,1,1,3,3,6,2,2,2,3,5,5,2,4,2,6,5,3,6,5,1,2,4,2,4,2,1,3,1,6,4,1
"45",1,4,4,2,6,5,5,1,1,2,1,3,2,1,2,5,1,5,6,4,5,1,1,2,5,1,4,6,5,2,5,4,4,6,3,2,3,2,6,3,1,1,2,3,1,5,1,4,4,6
"46",5,2,5,5,3,3,4,5,3,2,4,5,3,5,3,4,1,1,1,5,1,2,6,2,3,2,5,6,2,5,6,6,4,3,6,3,3,5,6,4,6,1,1,5,2,1,2,3,2,6
"47",3,3,1,6,3,2,1,2,2,6,3,6,4,4,5,4,1,5,4,5,1,4,2,1,4,2,5,4,1,5,6,2,1,1,3,3,2,1,4,1,3,5,4,1,5,4,6,5,4,2
"48",1,5,1,3,5,4,3,2,6,5,3,6,4,3,4,4,3,6,4,3,4,6,1,6,1,1,5,5,6,6,3,6,3,3,4,3,2,2,1,2,1,6,6,5,3,1,1,2,2,3
"49",2,5,5,1,3,5,5,3,6,2,5,6,4,1,2,1,3,6,6,4,4,2,6,6,4,2,1,4,4,3,3,2,4,4,2,2,1,3,3,2,4,3,1,3,4,2,5,2,3,3
"50",4,3,6,2,6,6,5,5,6,5,3,1,4,4,1,5,6,2,5,2,4,1,4,2,3,2,5,3,6,5,2,6,1,3,3,4,3,3,3,4,2,6,5,2,2,1,3,6,2,1
"51",5,6,3,1,1,5,5,6,5,6,5,2,3,6,5,2,5,1,2,1,2,3,6,4,6,5,1,4,1,3,5,3,2,4,2,6,6,4,2,4,6,4,5,4,4,1,2,1,3,3
"52",4,2,4,3,2,2,2,3,1,6,6,3,1,1,3,2,5,4,5,6,5,2,3,5,2,6,6,4,2,5,5,6,6,2,3,5,6,5,2,3,1,1,4,6,1,5,4,5,6,1
"53",2,2,4,4,4,4,3,5,6,2,5,3,1,1,3,1,2,4,6,2,6,1,2,3,3,3,4,6,1,1,6,4,4,5,6,3,4,5,4,1,1,6,6,3,1,2,3,5,1,1
"54",5,2,2,1,3,4,5,6,6,2,5,2,5,1,1,5,6,4,5,1,5,4,4,4,3,4,2,6,1,5,1,2,3,5,6,4,4,1,5,3,6,3,2,2,5,6,4,3,5,6
"55",4,3,4,6,1,1,2,3,1,3,6,4,3,5,5,5,6,5,1,1,2,2,2,6,1,2,1,1,1,1,6,3,5,4,5,6,3,4,3,1,3,3,5,6,1,2,3,2,6,2
"56",2,5,5,4,6,4,1,4,1,4,3,4,1,3,2,2,5,1,2,1,3,5,6,6,3,2,4,4,2,1,6,5,5,4,2,6,6,4,4,1,3,5,1,2,4,3,1,4,5,3
"57",2,4,1,1,3,6,1,2,5,5,4,2,1,5,2,5,4,1,2,4,2,2,5,3,1,5,1,3,5,6,2,1,5,6,5,6,4,6,3,5,1,1,1,2,5,5,4,2,3,3
"58",6,5,4,2,2,3,2,4,5,6,1,4,1,6,2,6,2,2,5,3,2,3,2,3,6,6,5,5,2,2,4,6,6,6,3,5,3,4,2,4,6,3,6,4,1,2,1,4,4,5
"59",5,4,5,1,6,1,2,2,4,4,6,4,1,2,3,1,1,1,4,1,4,1,4,5,1,1,3,2,1,4,1,5,6,2,2,2,2,5,5,6,3,1,3,6,6,6,5,2,6,3
"60",3,2,3,4,5,5,3,3,1,4,5,4,3,3,1,6,2,4,3,5,3,4,1,3,4,2,4,3,1,3,5,2,6,6,2,4,2,6,6,6,2,5,6,4,6,1,2,6,5,6
"61",4,1,5,5,2,6,1,5,4,5,4,1,5,6,3,3,5,3,6,4,4,1,4,6,6,4,5,3,2,3,4,6,3,4,4,3,4,3,2,1,3,1,5,5,6,4,5,5,6,1
"62",6,6,3,1,4,5,1,5,4,6,1,4,5,5,4,6,5,3,1,1,6,2,6,5,3,1,2,4,4,1,3,3,3,2,5,1,3,1,4,1,6,1,5,2,2,6,1,2,2,3
"63",3,4,3,4,5,3,5,5,3,3,3,1,3,6,4,5,1,3,2,3,1,3,2,3,2,5,6,5,3,3,6,6,5,2,5,5,2,4,1,1,5,4,4,5,2,2,3,5,2,4
"64",1,6,2,4,5,6,6,2,4,5,6,3,1,3,1,5,5,2,1,1,3,3,2,1,3,6,2,2,6,4,6,1,3,1,6,6,6,6,6,2,1,5,4,6,3,1,3,1,6,4
"65",2,4,5,5,4,4,2,2,4,2,1,6,1,1,1,3,4,2,2,2,2,1,1,5,2,3,5,5,2,1,1,5,6,2,4,3,1,3,3,2,1,1,1,4,6,2,1,1,2,6
"66",3,2,6,2,1,5,6,1,2,6,3,1,5,5,2,4,4,1,1,5,4,2,2,1,1,1,2,2,5,2,6,2,1,6,6,4,5,5,1,4,5,6,2,4,2,2,5,5,5,2
"67",3,1,4,6,4,6,1,6,2,5,6,5,2,1,4,4,6,3,2,1,4,2,6,4,4,6,1,6,4,6,4,6,3,1,5,3,2,1,5,1,2,2,3,3,2,4,1,2,3,5
"68",3,4,2,5,4,3,4,4,4,4,5,1,4,1,1,5,5,5,3,6,6,2,1,6,5,6,5,6,1,2,5,4,6,3,3,4,2,6,2,5,4,3,2,6,3,3,4,2,6,5
"69",4,1,4,4,5,5,5,4,1,3,6,5,6,2,4,5,6,2,6,6,6,6,1,6,3,4,6,3,5,1,4,5,6,2,6,3,4,1,6,1,3,3,5,5,4,2,6,5,3,1
"70",2,6,5,5,4,4,5,1,5,3,4,1,3,6,6,1,6,1,1,3,2,4,2,3,3,5,6,1,4,6,2,1,4,3,3,6,5,3,5,1,1,3,1,2,6,5,3,5,6,5
"71",3,3,2,5,4,6,2,6,3,4,1,4,2,2,3,6,4,6,1,5,3,5,6,6,1,2,1,4,4,3,4,3,1,4,2,4,2,6,1,5,3,4,4,2,2,1,4,6,6,6
"72",6,5,6,3,2,4,6,1,1,3,3,3,3,1,5,2,6,1,3,1,1,2,5,2,5,5,1,6,3,2,4,3,6,6,1,5,3,6,2,5,6,5,5,3,2,4,1,2,1,4
"73",2,6,6,6,3,6,1,3,6,3,2,3,3,4,4,6,1,2,2,6,1,3,2,5,4,5,6,3,6,2,4,5,6,4,2,3,1,6,4,1,1,6,5,1,2,3,1,5,3,3
"74",6,3,4,3,3,2,1,2,3,6,3,1,5,5,5,4,5,3,4,4,3,6,1,1,4,6,3,3,1,5,6,3,2,2,1,1,6,6,4,2,5,6,4,2,4,6,3,6,1,5
"75",1,6,5,5,1,5,2,5,6,2,1,1,5,6,1,3,2,4,4,1,5,3,5,5,1,5,4,2,4,4,3,1,6,5,5,6,2,2,1,1,4,1,1,3,1,5,3,6,2,1
"76",1,2,2,1,2,2,6,1,6,3,2,2,4,2,6,6,6,1,3,1,5,1,1,1,1,1,4,2,6,4,5,6,6,6,6,6,5,2,3,6,1,6,3,4,4,2,3,1,5,3
"77",3,3,5,5,6,3,2,3,6,3,2,4,3,2,2,1,1,3,4,2,1,3,4,3,3,5,2,5,2,3,2,5,5,1,4,6,3,5,6,3,5,1,4,1,1,3,3,2,2,6
