"","attributes$outlinks","attributes$outlinks.1","attributes$outlinks.2","attributes$outlinks.3","attributes$outlinks.4","attributes$outlinks.5","attributes$outlinks.6","attributes$outlinks.7","attributes$outlinks.8","attributes$outlinks.9","attributes$outlinks.10","attributes$outlinks.11","attributes$outlinks.12","attributes$outlinks.13","attributes$outlinks.14","attributes$outlinks.15","attributes$outlinks.16","attributes$outlinks.17","attributes$outlinks.18","attributes$outlinks.19","attributes$outlinks.20","attributes$outlinks.21","attributes$outlinks.22","attributes$outlinks.23","attributes$outlinks.24","attributes$outlinks.25","attributes$outlinks.26","attributes$outlinks.27","attributes$outlinks.28","attributes$outlinks.29","attributes$outlinks.30","attributes$outlinks.31","attributes$outlinks.32","attributes$outlinks.33","attributes$outlinks.34","attributes$outlinks.35","attributes$outlinks.36","attributes$outlinks.37","attributes$outlinks.38","attributes$outlinks.39","attributes$outlinks.40","attributes$outlinks.41","attributes$outlinks.42","attributes$outlinks.43","attributes$outlinks.44","attributes$outlinks.45","attributes$outlinks.46","attributes$outlinks.47","attributes$outlinks.48","attributes$outlinks.49"
"1",3,2,2,4,3,2,4,4,1,1,2,2,2,3,3,2,4,2,4,4,2,3,1,2,2,4,2,4,4,2,4,1,4,4,2,1,1,3,1,1,1,3,3,2,1,3,1,2,4,1
"2",3,1,3,2,3,3,3,2,3,4,1,4,3,2,3,1,3,2,4,1,2,1,3,2,1,3,2,4,3,4,3,2,2,4,3,3,1,4,1,4,4,1,2,3,1,2,3,3,2,2
"3",3,4,4,2,4,3,3,3,2,2,3,2,1,1,3,1,2,4,4,3,3,4,4,4,2,2,1,1,1,3,3,1,1,1,4,4,3,1,1,4,3,1,2,1,1,2,2,2,4,3
"4",4,4,1,2,1,3,1,2,2,4,3,3,4,1,3,3,2,3,3,1,2,4,3,3,1,4,1,4,2,3,4,4,2,4,4,4,4,2,1,2,2,1,3,3,4,4,2,1,2,1
"5",4,4,4,1,2,2,1,3,3,3,4,3,2,3,4,4,4,3,2,2,1,1,4,2,2,3,3,3,4,3,1,2,2,4,4,1,4,2,2,4,1,2,3,1,3,3,3,4,1,1
"6",1,1,1,2,2,3,3,1,2,1,2,4,3,4,4,1,3,4,4,1,3,2,2,3,1,4,2,4,3,2,1,3,3,4,3,4,4,1,4,4,1,1,4,2,2,2,2,2,1,4
"7",2,4,1,4,3,1,3,4,3,3,4,1,1,1,3,1,4,3,4,4,1,3,2,3,2,3,3,4,1,4,3,3,4,3,2,2,2,1,1,1,1,3,1,3,3,3,3,3,1,3
"8",3,3,1,1,4,1,3,1,1,2,3,1,1,3,1,3,4,4,4,2,3,4,1,2,2,1,2,2,1,4,4,1,2,3,2,3,2,1,4,1,4,2,1,1,4,2,2,1,4,1
"9",3,4,2,3,2,2,3,1,2,3,1,1,4,2,2,1,2,1,4,4,1,3,1,2,1,2,4,4,1,1,2,2,3,3,4,2,2,2,4,2,2,2,3,4,3,4,3,4,3,1
"10",4,4,1,1,1,2,3,3,4,4,4,2,4,1,3,3,4,1,2,4,1,1,3,3,1,4,4,2,3,3,2,3,3,4,3,3,2,1,1,2,1,1,3,3,1,2,3,2,2,1
